,Unnamed: 0,Unnamed: 0.1,category,type,difficulty,question,correct_answer,incorrect_answers
0,0,0,Entertainment: Video Games,boolean,easy,Peter Molyneux was the founder of Bullfrog Productions.,True,False
8,8,0,Science: Computers,boolean,easy,The logo for Snapchat is a Bell.,False,True
9,9,0,Science & Nature,boolean,medium,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",True,False
10,10,0,History,boolean,medium,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",False,True
11,11,0,Geography,boolean,easy,There is a city called Rome in every continent on Earth.,False,True
12,12,0,Science: Mathematics,boolean,easy,"A universal set, or a set that contains all sets, exists.",False,True
13,13,0,History,boolean,easy,The United States Department of Homeland Security was formed in response to the September 11th attacks.,True,False
15,15,0,General Knowledge,boolean,medium,The average woman is 5 inches / 13 centimeters shorter than the average man.,True,False
16,16,0,Science: Computers,boolean,medium,MacOS is based on Linux.,False,True
18,18,0,Politics,boolean,easy,The 2016 United States Presidential Election is the first time Hillary Clinton has run for President.,False,True
19,19,0,Geography,boolean,easy,There are no deserts in Europe.,True,False
22,22,0,Geography,boolean,medium,Antarctica is the largest desert in the world.,True,False
24,24,0,General Knowledge,boolean,easy,The Lego Group was founded in 1932.,True,False
27,27,0,Entertainment: Video Games,boolean,easy,"Ana was added as a new hero for the game Overwatch on July 19th, 2016.",True,False
28,28,0,Science: Computers,boolean,hard,The IBM PC used an Intel 8008 microprocessor clocked at 4.77 MHz and 8 kilobytes of memory.,False,True
29,29,0,Science: Gadgets,boolean,easy,"Microphones can be used not only to pick up sound, but also to project sound similar to a speaker.",True,False
30,30,0,Sports,boolean,easy,Roger Federer is a famous soccer player.,False,True
31,31,0,Vehicles,boolean,medium,Ferrari has never made a V10 engine for any of its cars.,False,True
32,32,0,Entertainment: Music,boolean,easy,A Saxophone is a brass instrument.,False,True
33,33,0,Science & Nature,boolean,easy,An exothermic reaction is a chemical reaction that releases energy by radiating electricity.,False,True
40,40,0,Science & Nature,boolean,hard,The value of one Calorie is different than the value of one calorie.,True,False
41,41,0,History,boolean,easy,The French Kingdom helped the United States gain their independence over Great Britain during the Revolutionary War.,True,False
46,46,0,Vehicles,boolean,easy,BMW M GmbH is a subsidiary of BMW AG that focuses on car performance.,True,False
47,47,0,Animals,boolean,medium,Tigers have one colour of skin despite the stripey fur.,False,True
52,52,0,Animals,boolean,medium,"The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.",False,True
54,54,0,Entertainment: Film,boolean,easy,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,True,False
55,55,0,Science: Computers,boolean,medium,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,False,True
56,56,0,Science & Nature,boolean,medium,Steel is an alloy of Iron and Carbon.,True,False
58,58,0,Science & Nature,boolean,medium,Shrimp can swim backwards.,True,False
60,60,0,History,boolean,medium,Brezhnev was the 5th leader of the USSR.,True,False
62,62,0,Entertainment: Music,boolean,medium,Ashley Frangipane performs under the stage name Halsey.,True,False
63,63,0,Science: Gadgets,boolean,easy,The communication protocol NFC stands for Near-Field Control.,False,True
64,64,0,General Knowledge,boolean,medium,You are allowed to sell your soul on eBay.,False,True
65,65,0,Geography,boolean,easy,Ottawa is the capital of Canada.,True,False
66,66,0,Science & Nature,boolean,hard,Scientists can grow teeth from urine.,True,False
68,68,0,Entertainment: Video Games,boolean,easy,Minecraft can be played with a virtual reality headset.,True,False
69,69,0,Entertainment: Television,boolean,medium,The television show Doctor Who first aired in 1963.,True,False
71,71,0,Entertainment: Video Games,boolean,medium,TF2: The Medic will be credited for an assist if he heals a Spy that successfully saps a building.,True,False
72,72,0,Entertainment: Video Games,boolean,easy,Rebecca Chambers does not appear in any Resident Evil except for the original Resident Evil and the Gamecube remake.,False,True
73,73,0,Geography,boolean,medium,The capital of the US State Ohio is the city of Chillicothe.,False,True
74,74,0,Geography,boolean,medium,You could walk from Norway to North Korea while only passing through Russia.,True,False
75,75,0,Entertainment: Film,boolean,easy,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",False,True
76,76,0,Mythology,boolean,medium,"In Greek mythology, Hera is the goddess of harvest.",False,True
77,77,0,Politics,boolean,medium,"During the 2016 United States presidential election, the State of California possessed the most electoral votes, having 55.",True,False
78,78,0,Science: Computers,boolean,medium,The first dual-core CPU was the Intel Pentium D.,False,True
79,79,0,Science & Nature,boolean,easy,An Astronomical Unit is the distance between Earth and the Moon.,False,True
80,80,0,Sports,boolean,medium,Formula E is an auto racing series that uses hybrid electric race cars.,False,True
81,81,0,History,boolean,medium,Oxford University is older than the Aztec Empire. ,True,False
82,82,0,Entertainment: Film,boolean,easy,George Lucas directed the entire original Star Wars trilogy.,False,True
83,83,0,Entertainment: Music,boolean,easy,Daft Punk originated in France.,True,False
86,86,0,Science & Nature,boolean,medium,Sugar contains fat.,False,True
89,89,0,General Knowledge,boolean,medium,Haggis is traditionally ate on Burns Night.,True,False
90,90,0,History,boolean,easy,The United States of America was the first country to launch a man into space.,False,True
91,91,0,Mythology,boolean,hard,Janus was the Roman god of doorways and passageways.,True,False
92,92,0,Entertainment: Music,boolean,easy,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",True,False
93,93,0,Science & Nature,boolean,easy,Not including false teeth; A human has two sets of teeth in their lifetime.,True,False
94,94,0,Science & Nature,boolean,medium,The most frequent subconscious activity repeated by the human body is blinking.,False,True
95,95,0,General Knowledge,boolean,medium,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False,True
97,97,0,Science & Nature,boolean,medium,Hippopotomonstrosesquippedaliophobia is the irrational fear of long words.,True,False
99,99,0,History,boolean,medium,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,False,True
100,100,0,General Knowledge,boolean,easy,Gumbo is a stew that originated in Louisiana.,True,False
101,101,0,Geography,boolean,medium,"There are no roads in/out of Juneau, Alaska.",True,False
104,104,0,Science & Nature,boolean,hard,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,True,False
105,105,0,Vehicles,boolean,medium,The Chevrolet Corvette has always been made exclusively with V8 engines only.,False,True
107,107,0,Sports,boolean,medium,Tennis was once known as Racquetball.,False,True
109,109,0,Politics,boolean,easy,"Despite being seperated into multiple countries, The Scandinavian countries are unified by all having the same monarch.",False,True
111,111,0,General Knowledge,boolean,easy,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",True,False
115,115,0,General Knowledge,boolean,easy,Adolf Hitler was born in Australia. ,False,True
118,118,0,Entertainment: Music,boolean,medium,EDM label Monstercat signs tracks instead of artists.,True,False
119,119,0,Vehicles,boolean,medium,Arriva is owned by the Deutsche Bahn.,True,False
120,120,0,Geography,boolean,hard,"Switzerland has four national languages, English being one of them.",False,True
121,121,0,Entertainment: Video Games,boolean,medium,"In Rocket League, you can play Basketball.",True,False
122,122,0,History,boolean,easy,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",True,False
123,123,0,Science: Computers,boolean,easy,Linux was first created as an alternative to Windows XP.,False,True
124,124,0,Entertainment: Video Games,boolean,easy,Watch_Dogs 2 is a prequel.,False,True
125,125,0,Entertainment: Television,boolean,easy,Klingons express emotion in art through opera and poetry.,True,False
126,126,0,Animals,boolean,easy,The Killer Whale is considered a type of dolphin.,True,False
130,130,0,General Knowledge,boolean,medium,The scientific name for the Southern Lights is Aurora Australis?,True,False
131,131,0,Entertainment: Japanese Anime & Manga,boolean,easy,"In Chobits, Hideki found Chii in his apartment.",False,True
132,132,0,Politics,boolean,easy,Former president Theodore Roosevelt (1900-1908)  ran for another term under the Progressive Party in 1912.,True,False
136,136,0,History,boolean,medium,The Korean War ended in 1953 without any ceasefire.,False,True
137,137,0,History,boolean,medium,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",True,False
139,139,0,Geography,boolean,medium,Seoul is the capital of North Korea.,False,True
140,140,0,Science: Mathematics,boolean,medium,The Pythagorean theorem states that the square of the hypotenuse is equal to the product of the squares of the other two sides.,False,True
141,141,0,Geography,boolean,medium,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,True,False
142,142,0,Science & Nature,boolean,medium,The planet Mars has two moons orbiting it.,True,False
143,143,0,Entertainment: Music,boolean,easy,Eurobeat is primarily an Italian genre of music.,True,False
145,145,0,Entertainment: Video Games,boolean,easy,Luigi is taller than Mario?,True,False
146,146,0,Entertainment: Video Games,boolean,easy,Donkey Kong was originally set to be a Popeye arcade game.,True,False
147,147,0,Animals,boolean,easy,A bear does NOT defecate during hibernation. ,True,False
148,148,0,General Knowledge,boolean,easy,Bulls are attracted to the color red.,False,True
149,149,0,Geography,boolean,medium,Gothenburg is the capital of Sweden.,False,True
151,151,0,History,boolean,hard,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,True,False
152,152,0,General Knowledge,boolean,medium,Kissing someone for one minute burns about 2 calories.,True,False
154,154,0,Vehicles,boolean,easy,The full English name of the car manufacturer BMW is Bavarian Motor Works,True,False
161,161,0,Science: Computers,boolean,easy,The Windows ME operating system was released in the year 2000.,True,False
162,162,0,Politics,boolean,hard,Joko Widodo has appeared in the cover of a TIME magazine.,True,False
163,163,0,General Knowledge,boolean,medium,Albert Einstein had trouble with mathematics when he was in school.,False,True
164,164,0,Geography,boolean,easy,California is larger than Japan.,True,False
167,167,0,Geography,boolean,easy,Tokyo is the capital of Japan.,True,False
168,168,0,Art,boolean,easy,Leonardo da Vinci was not the creator of the Mona Lisa.,False,True
169,169,0,Politics,boolean,hard,"George Clinton, Vice President of the United States (1805-1812), is an ancestor of President Bill Clinton.",False,True
170,170,0,Geography,boolean,easy,Hungary is the only country in the world beginning with H.,False,True
172,172,0,Science & Nature,boolean,easy,Psychology is the science of behavior and mind.,True,False
175,175,0,Politics,boolean,medium,"Jeb Bush was elected as Governor of Florida in 2002, starting his political career.",False,True
176,176,0,Science: Computers,boolean,medium,The first computer bug was formed by faulty wires.,False,True
177,177,0,General Knowledge,boolean,easy,The Great Wall of China is visible from the moon.,False,True
181,181,0,Geography,boolean,easy,Vatican City is a country.,True,False
183,183,0,History,boolean,hard,The Kingdom of Prussia briefly held land in Estonia.,False,True
184,184,0,Entertainment: Music,boolean,medium,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",True,False
186,186,0,Politics,boolean,easy,"In 2016, the United Kingdom voted to stay in the EU.",False,True
190,190,0,Science: Computers,boolean,easy,Ada Lovelace is often considered the first computer programmer.,True,False
192,192,0,Entertainment: Video Games,boolean,easy,The PlayStation was originally a joint project between Sega and Sony that was a Sega Genesis with a disc drive.,False,True
193,193,0,Animals,boolean,easy,"In 2016, the IUCN reclassified the status of Giant Pandas from endangered to vulnerable.",True,False
196,196,0,General Knowledge,boolean,easy,"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",True,False
197,197,0,Geography,boolean,medium,Japan has left-hand side traffic.,True,False
198,198,0,Entertainment: Books,boolean,hard,"Harry Potter was born on July 31st, 1980.",True,False
199,199,0,Sports,boolean,easy,"In association football, or soccer, a corner kick is when the game restarts after someone scores a goal.",False,True
202,202,0,Science: Computers,boolean,medium,Android versions are named in alphabetical order.,True,False
206,206,0,Geography,boolean,easy,"Rhode Island is actually located on the US mainland, despite its name.",True,False
207,207,0,Animals,boolean,medium,You can tell the age of a ladybird by counting the spots on his back.,False,True
208,208,0,Entertainment: Music,boolean,easy,The music group Daft Punk got their name from a negative review they recieved.,True,False
212,212,0,Entertainment: Video Games,boolean,medium,Super Mario Bros. was released in 1990.,False,True
216,216,0,Geography,boolean,medium,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",True,False
220,220,0,General Knowledge,boolean,easy,The color orange is named after the fruit.,True,False
224,224,0,General Knowledge,boolean,easy,"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",True,False
225,225,0,History,boolean,medium,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,True,False
226,226,0,Mythology,boolean,medium,The Japanese god Izanagi successfully returned his wife Izanami from the Underworld.,False,True
227,227,0,Science: Computers,boolean,medium,AMD created the first consumer 64-bit processor.,True,False
228,228,0,Entertainment: Japanese Anime & Manga,boolean,medium,"The anime Attack on Titan was directed by Tetsurō Araki, the same person who directed the anime Highschool of the Dead.",True,False
229,229,0,History,boolean,medium,United States President Ronald Reagan was the first president to appoint a woman to the Supreme Court. ,True,False
232,232,0,Entertainment: Television,boolean,easy,"In Battlestar Galactica (2004), Cylons were created by man as cybernetic workers and soldiers.",True,False
233,233,0,Politics,boolean,medium,"The State of Queensland, Australia voted NO to a referendum for daylight savings in 1992.",True,False
235,235,0,Entertainment: Television,boolean,medium,"Klingons respect their disabled comrades, and those who are old, injuried, and helpless.",False,True
237,237,0,General Knowledge,boolean,easy,The National Animal of Scotland is the Unicorn.,True,False
238,238,0,Mythology,boolean,easy,A wyvern is the same as a dragon.,False,True
242,242,0,Entertainment: Board Games,boolean,easy,Snakes and Ladders was originally created in India?,True,False
244,244,0,Geography,boolean,easy,Greenland is covered with grass and Iceland covered with ice.,False,True
246,246,0,General Knowledge,boolean,medium,There are 86400 seconds in a day.,True,False
249,249,0,Sports,boolean,easy,Peyton Manning retired after winning Super Bowl XLIX.,False,True
251,251,0,General Knowledge,boolean,medium,An eggplant is a vegetable.,False,True
253,253,0,Mythology,boolean,easy,"According to Greek Mythology, Zeus can control lightning.",True,False
254,254,0,General Knowledge,boolean,easy,You can legally drink alcohol while driving in Mississippi.,True,False
256,256,0,Geography,boolean,medium,The Sonoran Desert is located in eastern Africa.,False,True
257,257,0,Entertainment: Video Games,boolean,easy,"In Splatoon, the Squid Sisters are named Tako and Yaki.",False,True
258,258,0,Sports,boolean,medium,The Olympics tennis court is a giant green screen.,True,False
260,260,0,Entertainment: Video Games,boolean,easy,The end credits sequence in Grand Theft Auto 5 is over half an hour long.,True,False
263,263,0,Vehicles,boolean,medium,The General Motors EV1 was the first street-legal production electric vehicle.,False,True
264,264,0,Entertainment: Video Games,boolean,medium,Pistons were added to Minecraft in Beta 1.5.,False,True
265,265,0,Science: Computers,boolean,medium,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,False,True
269,269,0,Science & Nature,boolean,hard,The chemical element Lithium is named after the country of Lithuania.,False,True
271,271,0,Entertainment: Video Games,boolean,easy,"In Heroes of the Storm, the Cursed Hollow map gimmick requires players to kill the undead to curse the enemy team.",False,True
276,276,0,Vehicles,boolean,medium,The majority of Subaru vehicles are made in China.,False,True
277,277,0,Entertainment: Video Games,boolean,medium,Nintendo started out as a playing card manufacturer.,True,False
282,282,0,Science & Nature,boolean,medium,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,False,True
283,283,0,Science: Computers,boolean,medium,"To bypass US Munitions Export Laws, the creator of the PGP published all the source code in book form. ",True,False
284,284,0,Politics,boolean,easy,Denmark has a monarch.,True,False
