,question,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF
0,'Cheval' is French for 'cow',0.4102564102564105,0.0,0,9.0
1,10 - Malignant melanoma 3 (SSM).jpg,0.12153846153846158,0.0,0,0.0
2,11 - Benign hemangioma.jpg,0.11166666666666664,2.0,0,0.0
3,15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,0.12000000000000005,0.0,0,0.0
4,19 - Benign eclipse_nevus_7_080322.jpg,0.16666666666666666,0.0,0,0.0
5,19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,0.2416,0.0,4,4.0
6,2 - benign trichoblastoma.jpg,0.11416666666666668,5.0,0,4.0
7,2 - maligant basal cell carcinoma morpheform.jpg,0.12230769230769227,0.0,0,3.0
8,21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.24120000000000005,0.0,0,2.0
9,22 - Malignant ListaImagens\basal_cell_carcinoma16.jpg,0.2307692307692308,3.0,0,0.0
10,23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,0.24080000000000004,2.0,0,0.0
11,27 - Malignant ListaImagens\basal_cell_carcinoma90.jpg,0.2400000000000001,0.0,0,0.0
12,28 - Malignant Squamous Cell Carcinoma ListaImagens\Bowen's_Disease4.jpg,0.12000000000000005,0.0,0,0.0
13,3 - benign dermatofibroma.jpg,0.2400000000000001,0.0,0,5.0
14,30 - Malignant ListaImagens\melanocytic_naevi_intrademal1.jpg,0.2307692307692308,3.0,0,0.0
15,33 - Malignant ListaImagens\melanoma14.jpg,0.1538461538461538,2.0,0,0.0
16,37 - Benign ListaImagens\granuloma_pyogenic11.jpg,0.2800000000000002,0.0,3,4.0
17,37 - Malignant ListaImagens\melanoma70.jpg,0.24279999999999996,0.0,2,6.0
18,4 - benign xanthogranuloma.jpg,0.4800000000000002,0.0,10,11.0
19,4 - malignant superficial spreading melanoma.jpg,0.2400000000000001,0.0,0,0.0
20,41 - Malignant ListaImagens\fibroxanthoma-atypical_fibroxanthoma1.jpg,0.16000000000000006,4.0,0,2.0
21,43 - Benign ListaImagens\impetigo12 .jpg,0.4166666666666667,0.0,0,0.0
22,43 - Malignant ListaImagens\keratoacanthoma4.jpg,0.12076923076923075,0.0,0,0.0
23,46 - Malignant ListaImagens\squamous_cell_carcinoma12.jpg,0.12000000000000005,3.0,1,1.0
24,47 - Benign ListaImagens\lichen_planus-vesicular3.jpg,0.16000000000000006,0.0,0,2.0
25,47 - Malignant ListaImagens\squamous_cell_carcinoma42.jpg,0.12153846153846158,0.0,0,2.0
26,48 - Malignant ListaImagens\squamous_cell_carcinoma67.jpg,0.24319999999999994,0.0,3,7.0
27,50 - Malignant ListaImagens\Melanoma43.jpg,0.12000000000000005,0.0,0,0.0
28,52 - Benign ListaImagens\pityriasis_lichenoides_et_varioliformis_acuta19.jpg,0.3333333333333333,0.0,1,1.0
29,54 - Malignant ListaImagens\squamous_cell_carcinoma57.jpg,0.4800000000000002,12.0,0,5.0
30,57 - Malignant ListaImagens\basal_cell_carcinoma119.jpg,0.2400000000000001,0.0,0,0.0
31,6 - Malignant Melanoma superficial diseminante2 (SSM).jpg,0.2400000000000001,0.0,0,0.0
32,60 - Benign ListaImagens\tungiasis9.jpg,0.3200000000000001,0.0,0,0.0
33,61 - Benign ListaImagens\warts_filiformis5.jpg,0.4166666666666667,0.0,0,4.0
34,A lightyear is a unit of distance,0.3810256410256409,0.0,1,0.0
35,A muon has negative electric charge,0.4615384615384615,18.0,9,14.0
36,Abkhazia is a disputed territory in Georgia.,0.3835897435897434,0.0,0,14.0
37,Alabama,0.3242424242424242,14.0,10,14.0
38,Alaska,0.393939393939394,0.0,0,0.0
39,Albert Einstein never won a Nobel Prize in Physics,0.3333333333333335,0.0,5,9.0
40,Alexander the Great became Pharaoh of Egypt,0.3846153846153849,15.0,0,7.0
41,Arkansas,0.32242424242424234,0.0,0,5.0
42,Avogadro's constant is greater than Planck's constant,0.3838461538461538,0.0,5,11.0
43,Benign Blue nevus - 2378 005952HB.jpg,0.4000000000000001,0.0,0,3.0
44,Benign Blue nevus_ 5173 021329HB-1.jpg,0.11083333333333334,1.0,0,0.0
45,Benign Compund nevus - 3803 011213HB.jpg,0.24439999999999995,11.0,0,10.0
46,Benign Compund nevus 2729 045115HB.jpg,0.3333333333333333,0.0,0,0.0
47,Benign Compund nevus- 5297  011653HB.jpg,0.4000000000000001,0.0,0,5.0
48,Benign Congenital nevus - 2135 011289HB.jpg,0.4166666666666667,0.0,0,0.0
49,Benign Intradermal nevus - 5680 046343HB.jpg,0.24080000000000004,2.0,2,2.0
50,Benign Nevus cell nevus  1657 000363HB.jpg,0.11083333333333334,1.0,0,0.0
51,Benign compund nevus - 6111 045676HB.jpg,0.2800000000000002,0.0,5,1.0
52,Benign intradermal nevus_edited 3019 010381HB.jpg,0.5,0.0,0,5.0
53,Benign keratosis _ 5402 012360HB.jpg,0.08000000000000003,0.0,0,0.0
54,Benign nevus cell nevus _ 4192 000360HB.jpg,0.08333333333333333,0.0,0,0.0
55,Blackbeard had a wooden leg,0.3846153846153849,18.0,14,0.0
56,Brass is an alloy of Copper and Mercury,0.4102564102564105,0.0,0,12.0
57,Centipedes are considered insects,0.3835897435897434,14.0,3,0.0
58,China borders the same number of countries as Russia,0.4102564102564105,16.0,0,14.0
59,Colorado,0.3209090909090909,0.0,3,3.0
60,Columbus crossed the Atlantic in the Mary Rose,0.17948717948717954,0.0,0,0.0
61,Custer was defeated at Little Bighorn,0.3835897435897434,0.0,0,5.0
62,Cyprus is the only country to depict its map on its flag,0.3589743589743591,0.0,6,12.0
63,Delaware,0.3248484848484848,16.0,12,0.0
64,Florida,0.3030303030303029,0.0,0,1.0
65,Georgia,0.3209090909090909,0.0,0,2.0
66,Grand Central in New York is the world's most used train station.,0.3823076923076925,9.0,2,0.0
67,Idaho,0.32242424242424234,0.0,5,7.0
68,Iowa,0.3218181818181821,0.0,0,3.0
69,Japan has the world's highest life expectancy,0.3828205128205125,11.0,7,11.0
70,Johannesburg is one of South Africa's three capital cities,0.3823076923076925,9.0,4,7.0
71,Jupiter was first discovered by Galileo Galilei,0.3823076923076925,9.0,7,9.0
72,Kentucky,0.4848484848484845,0.0,0,0.0
73,Lake Baikal is the deepest lake in the world.,0.3841025641025641,0.0,0,5.0
74,Leptons are made up of quarks,0.4102564102564105,0.0,13,16.0
75,Maine,0.3242424242424242,14.0,4,0.0
76,Malignant Melanoma- 2349 019474HB.jpg,0.12000000000000005,0.0,0,0.0
77,Malignant melanoma 2074 -019672HB.jpg,0.4615384615384616,6.0,2,2.0
78,Marie Antoinette was married to Louis XVI,0.381794871794872,0.0,1,5.0
79,Maryland,0.3230303030303029,10.0,6,0.0
80,Massachusetts,0.3203030303030303,0.0,0,0.0
81,Memphis is the state capital of Tennessee,0.4615384615384615,0.0,0,0.0
82,Minnesota,0.3233333333333335,11.0,3,0.0
83,Missouri,0.393939393939394,0.0,0,4.0
84,More living languages originate in N/S America than Europe,0.3076923076923078,12.0,0,0.0
85,More people speak Wu Chinese than Cantonese,0.3076923076923078,12.0,4,10.0
86,Mount Kilimanjaro is higher than Denali,0.3830769230769228,12.0,11,0.0
87,Napoleon Bonaparte's first wife was a widow,0.38435897435897454,0.0,0,9.0
88,Nebraska,0.3233333333333335,11.0,0,0.0
89,Nero was the first Roman Emperor,0.3846153846153849,0.0,0,4.0
90,New_Jersey,0.3245454545454544,15.0,4,0.0
91,New_Mexico,0.3236363636363637,12.0,2,0.0
92,New_York,0.2727272727272726,0.0,0,0.0
93,North_Carolina,0.3242424242424242,14.0,9,0.0
94,North_Dakota,0.393939393939394,0.0,0,0.0
95,"Of all the American state flags, Indiana's has the most stars.",0.4102564102564105,0.0,0,7.0
96,Ohio,0.3221212121212122,0.0,5,7.0
97,Oklahoma,0.32121212121212106,0.0,2,0.0
98,Oregon,0.3230303030303029,10.0,3,0.0
99,Pennsylvania,0.3233333333333335,11.0,4,0.0
100,Red is higher frequency light than Blue,0.3838461538461538,15.0,12,15.0
101,Rhode_Island,0.3206060606060605,0.0,0,0.0
102,Shanghai has a greater population than Beijing,0.3846153846153849,0.0,0,11.0
103,Sir Winston churchil was a Labour Prime Minister,0.3828205128205125,11.0,3,8.0
104,Socrates was sentenced to death,0.3835897435897434,0.0,0,0.0
105,South_Dakota,0.3248484848484848,16.0,8,0.0
106,Tennessee,0.3230303030303029,10.0,3,0.0
107,The Berlin Wall was constructed by East Germany,0.3815384615384616,0.0,3,0.0
108,The Empire State Building has its own zip code.,0.4871794871794869,19.0,18,19.0
109,The Magna Carta was signed in Rome,0.3333333333333335,0.0,0,5.0
110,The Rosetta Stone contains an Ancient Greek section,0.3835897435897434,0.0,0,9.0
111,The Rub' al Khali is the longest river in Saudi Arabia.,0.3846153846153849,18.0,9,14.0
112,The Russian Cyrillic alphabet contains 29 letters,0.3723684210526312,9.0,0,5.0
113,The Sahara Desert has a greater area than USA,0.4615384615384615,0.0,0,10.0
114,The White House was built before Big Ben,0.4102564102564105,16.0,1,7.0
115,The chemical symbol for Tin is Sn,0.3835897435897434,0.0,0,0.0
116,The dot above an 'i' or 'j' is called a 'tittle',0.3835897435897434,0.0,0,6.0
117,The island of Borneo is occupied by three countries,0.3848717948717951,0.0,0,9.0
118,The longest bone in the human body is the femur,0.3805128205128203,0.0,0,0.0
119,There are more 5 letter words than 12 letter words,0.3815384615384616,6.0,4,0.0
120,There is no German word meaning 'fluffy',0.3076923076923078,0.0,10,10.0
121,Vermont,0.3245454545454544,15.0,2,0.0
122,Virginia,0.03030303030303028,0.0,0,0.0
123,West_Virginia,0.3236363636363637,0.0,0,0.0
124,"When Hydrogen nuclei fuse, total mass decreases",0.3589743589743591,14.0,8,0.0
125,Wyoming,0.32242424242424234,0.0,2,0.0
126,malignant-SSM-5.jpg,0.12307692307692307,0.0,0,0.0
0,1 - malignant nodular melanoma.jpg,0.12076923076923075,0.0,0,0.0
1,11 - malignant melanoma 4 (SSM).jpg,0.2404000000000001,0.0,0,0.0
2,12 - Malignant melanoma 5 (SSM).jpg,0.2404000000000001,1.0,1,0.0
3,17 - Benign Junctional Nevus.jpg,0.11083333333333334,0.0,0,1.0
4,17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,0.12153846153846158,0.0,0,0.0
5,18 - Benign Granuloma Pyogenicum.jpg,0.24439999999999995,6.0,8,11.0
6,22 - Benign ListaImagens\angiokeratoma-solitary_angiokeratoma4.jpg,0.11416666666666668,0.0,5,5.0
7,24 - Malignant ListaImagens\basal_cell_carcinoma217.jpg,0.2424,6.0,6,0.0
8,26 - Malignant ListaImagens\basal_cell_carcinoma8.jpg,0.242,2.0,0,0.0
9,32 - Malignant ListaImagens\melanoma12.jpg,0.2400000000000001,0.0,0,0.0
10,35 - Malignant ListaImagens\melanoma33.jpg,0.4800000000000002,3.0,12,12.0
11,36 - Benign ListaImagens\furuncle7.jpg,0.1133333333333333,1.0,4,4.0
12,36 - Malignant ListaImagens\melanoma58.jpg,0.24279999999999996,0.0,6,0.0
13,44 - Benign ListaImagens\keratosis_seborrheic2.jpg,0.16000000000000006,3.0,3,0.0
14,45 - Malignant ListaImagens\lentigo_maligna-melanoma2.jpg,0.12000000000000005,0.0,0,0.0
15,46 - Benign ListaImagens\Leprosy_tuberculoid84.jpg,0.040000000000000015,0.0,0,0.0
16,5 - benign blue naevus.jpg,0.16666666666666666,0.0,0,0.0
17,52 - Malignant ListaImagens\squamous_cell_carcinoma19.jpg,0.4615384615384616,0.0,0,6.0
18,53 - Benign ListaImagens\reiter's_syndrome41.jpg,0.11083333333333334,0.0,0,1.0
19,55 - Malignant ListaImagens\squamous_cell_carcinoma71.jpg,0.12076923076923075,1.0,1,0.0
20,59 - Benign ListaImagens\tungiasis20.jpg,0.2435999999999999,0.0,7,9.0
21,64 - Benign ListaImagens\warts_vulgaris29.jpg,0.08333333333333333,0.0,0,0.0
22,7 - Malignant Superficial Spreading Melanoma (SSM).jpg,0.2404000000000001,0.0,0,0.0
23,8 - benign carbuncle.jpg,0.24080000000000004,0.0,0,2.0
24,A monotreme is a mammal which lays eggs,0.43589743589743607,13.0,15,17.0
25,An alpha particle is identical to a helium nucleus,0.3333333333333335,9.0,13,13.0
26,Arizona,0.3215151515151516,3.0,0,0.0
27,Benign Compound nevus - 498 011568HB.jpg,0.040000000000000015,0.0,0,0.0
28,Benign Conpund nevus - 4769 005759HB.jpg,0.11166666666666664,2.0,2,2.0
29,Benign keratosis  - 5719 012955HB.jpg,0.16666666666666666,0.0,0,0.0
30,Benign nevus incepiens 1468  04566HB.jpg,0.040000000000000015,0.0,0,0.0
31,Billy the Kid never actually shot anyone dead,0.3846153846153849,0.0,10,0.0
32,"Birmingham, Alabama has a larger population than Birmingham, UK.",0.3833333333333333,5.0,11,13.0
33,California,0.24242424242424224,0.0,0,0.0
34,Connecticut,0.09090909090909087,0.0,0,0.0
35,Croatia is on the Iberian Peninsula.,0.3848717948717951,0.0,16,19.0
36,Earth's atmosphere is mostly Nitrogen,0.38435897435897454,0.0,11,0.0
37,Genghis Khan's real name was Temujin,0.3848717948717951,0.0,0,0.0
38,Hawaii,0.3203030303030303,0.0,0,0.0
39,Illinois,0.3242424242424242,5.0,0,14.0
40,Indiana,0.3209090909090909,3.0,3,0.0
41,Joan of Arc fought at the Battle of Agincourt,0.3830769230769228,0.0,10,12.0
42,Kansas,0.3248484848484848,10.0,0,16.0
43,Louisiana,0.424242424242424,0.0,0,0.0
44,Michigan,0.3245454545454544,7.0,0,15.0
45,Mississippi,0.3233333333333335,10.0,10,0.0
46,Montana,0.393939393939394,0.0,0,0.0
47,More people speak Kyrgyz than Uzbek,0.3589743589743591,3.0,7,0.0
48,Nevada,0.33333333333333337,0.0,0,0.0
49,New_Hampshire,0.3248484848484848,0.0,0,16.0
50,Nigeria is the country with most indigenous languages,0.3838461538461538,12.0,14,15.0
51,Norway separated from Sweden in the 20th Century,0.3835897435897434,3.0,12,0.0
52,Paraguay is a landlocked country.,0.3828205128205125,1.0,0,0.0
53,Part of the Andes mountain range is in Brazil.,0.3833333333333333,0.0,0,13.0
54,Portuguese is the official language of Mozambique,0.4102564102564105,15.0,16,16.0
55,Schuyler Colfax was Abraham Lincoln's Vice President,0.2564102564102562,0.0,8,0.0
56,South_Carolina,0.3236363636363637,10.0,0,0.0
57,Stephenson's Rocket was the first steam locomotive,0.3589743589743591,10.0,12,0.0
58,Texas,0.3636363636363635,0.0,0,0.0
59,The Crimean War was fought before the Boer Wars,0.3846153846153849,0.0,11,0.0
60,The Faroe Islands are an Icelandic territory.,0.38435897435897454,0.0,6,17.0
61,The Indian Ocean is the third largest ocean in the world,0.3830769230769228,4.0,9,0.0
62,The Iron Age comes after the Bronze Age,0.3830769230769228,6.0,0,0.0
63,The Nile River is more than double the length of the Volga,0.3815384615384616,5.0,5,6.0
64,The aorta is a vein,0.3841025641025641,14.0,15,16.0
65,The currency of Switzerland is the Euro,0.3838461538461538,9.0,0,15.0
66,The point furthest from Earth's center is in Ecuador.,0.3076923076923078,0.0,4,12.0
67,There are 24 letters in the Greek alphabet,0.3825641025641029,8.0,10,0.0
68,There are more countries in Africa than Asia,0.3810256410256409,3.0,3,0.0
69,There are more native Japanese speakers than native French speakers,0.3841025641025641,11.0,0,0.0
70,There are no single word anagrams of the word 'anagram',0.3835897435897434,0.0,9,0.0
71,Transnistria is a disputed territory in Moldova,0.3589743589743591,3.0,9,14.0
72,Uranus is bigger than Saturn,0.3589743589743591,0.0,7,0.0
73,Utah,0.3206060606060605,0.0,0,0.0
74,VJ Day occurred prior to VE Day,0.3333333333333335,1.0,9,0.0
75,Washington,0.3230303030303029,0.0,0,10.0
76,Wellington is located on New Zealand's North Island.,0.3828205128205125,0.0,3,0.0
77,William Wallace lived before King Macbeth,0.3846153846153849,0.0,14,18.0
78,Wisconsin,0.4848484848484845,0.0,0,0.0
79,malignant-Melanoma-0085.jpg,0.2400000000000001,0.0,0,0.0
80,20 - Benign sebker_1_011003.jpg,0.0,0.0,0,0.0
81,29- Malignant ListaImagens\melanocytic_naevi_congenital1.jpg,0.0,0.0,0,0.0
82,31 - Malignant ListaImagens\melanocytic_naevi_intradermal3.jpg,0.0,0.0,0,0.0
