question,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF
'Cheval' is French for 'cow',0.41025641025641046,5,9,0.0,0,9
1 - malignant nodular melanoma.jpg,0.0769230769230769,0,0,0.0,0,0
10 - Malignant melanoma 3 (SSM).jpg,0.1538461538461538,0,0,0.0,0,0
11 - Benign hemangioma.jpg,0.16666666666666666,0,0,2.0,0,0
11 - malignant melanoma 4 (SSM).jpg,0.04000000000000001,0,0,0.0,0,0
12 - Malignant melanoma 5 (SSM).jpg,0.04000000000000001,1,1,0.0,1,1
15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,0.0,0,0,0.0,0,0
17 - Benign Junctional Nevus.jpg,0.08333333333333333,0,0,1.0,0,0
17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,0.1538461538461538,0,0,0.0,0,0
18 - Benign Granuloma Pyogenicum.jpg,0.44,6,8,11.0,6,8
19 - Benign eclipse_nevus_7_080322.jpg,0.16666666666666666,0,0,0.0,0,0
19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,0.16000000000000003,4,4,0.0,4,4
2 - benign trichoblastoma.jpg,0.4166666666666667,0,4,5.0,0,4
2 - maligant basal cell carcinoma morpheform.jpg,0.2307692307692308,3,3,0.0,3,3
20 - Benign sebker_1_011003.jpg,0.0,0,0,0.0,0,0
21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.12000000000000006,0,2,0.0,0,2
22 - Benign ListaImagens\angiokeratoma-solitary_angiokeratoma4.jpg,0.4166666666666667,3,5,5.0,0,5
22 - Malignant ListaImagens\basal_cell_carcinoma16.jpg,0.2307692307692308,0,0,3.0,0,0
23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,0.08000000000000002,0,0,2.0,0,0
24 - Malignant ListaImagens\basal_cell_carcinoma217.jpg,0.24000000000000013,4,6,0.0,5,6
26 - Malignant ListaImagens\basal_cell_carcinoma8.jpg,0.20000000000000007,2,0,0.0,2,0
27 - Malignant ListaImagens\basal_cell_carcinoma90.jpg,0.0,0,0,0.0,0,0
28 - Malignant Squamous Cell Carcinoma ListaImagens\Bowen's_Disease4.jpg,0.0,0,0,0.0,0,0
29- Malignant ListaImagens\melanocytic_naevi_congenital1.jpg,0.0,0,0,0.0,0,0
3 - benign dermatofibroma.jpg,0.24000000000000013,5,5,0.0,5,5
30 - Malignant ListaImagens\melanocytic_naevi_intrademal1.jpg,0.2307692307692308,0,0,3.0,0,0
31 - Malignant ListaImagens\melanocytic_naevi_intradermal3.jpg,0.0,0,0,0.0,0,0
32 - Malignant ListaImagens\melanoma12.jpg,0.0,0,0,0.0,0,0
33 - Malignant ListaImagens\melanoma14.jpg,0.1538461538461538,0,0,2.0,0,0
35 - Malignant ListaImagens\melanoma33.jpg,0.48000000000000026,3,12,12.0,10,12
36 - Benign ListaImagens\furuncle7.jpg,0.3333333333333333,3,4,4.0,1,4
36 - Malignant ListaImagens\melanoma58.jpg,0.2800000000000002,0,6,0.0,5,6
37 - Benign ListaImagens\granuloma_pyogenic11.jpg,0.2800000000000002,0,4,0.0,3,4
37 - Malignant ListaImagens\melanoma70.jpg,0.2800000000000002,1,6,0.0,4,6
4 - benign xanthogranuloma.jpg,0.48000000000000026,8,11,0.0,8,11
4 - malignant superficial spreading melanoma.jpg,0.0,0,0,0.0,0,0
41 - Malignant ListaImagens\fibroxanthoma-atypical_fibroxanthoma1.jpg,0.16000000000000003,2,2,4.0,2,2
43 - Benign ListaImagens\impetigo12 .jpg,0.4166666666666667,0,0,0.0,0,0
43 - Malignant ListaImagens\keratoacanthoma4.jpg,0.0769230769230769,0,0,0.0,0,0
44 - Benign ListaImagens\keratosis_seborrheic2.jpg,0.16000000000000003,3,3,0.0,2,4
45 - Malignant ListaImagens\lentigo_maligna-melanoma2.jpg,0.0,0,0,0.0,0,0
46 - Benign ListaImagens\Leprosy_tuberculoid84.jpg,0.04000000000000001,0,0,0.0,0,0
46 - Malignant ListaImagens\squamous_cell_carcinoma12.jpg,0.12000000000000006,0,0,3.0,1,1
47 - Benign ListaImagens\lichen_planus-vesicular3.jpg,0.16000000000000003,0,0,0.0,0,2
47 - Malignant ListaImagens\squamous_cell_carcinoma42.jpg,0.1538461538461538,0,2,0.0,0,2
48 - Malignant ListaImagens\squamous_cell_carcinoma67.jpg,0.32000000000000006,3,8,0.0,3,8
5 - benign blue naevus.jpg,0.16666666666666666,0,0,0.0,0,0
50 - Malignant ListaImagens\Melanoma43.jpg,0.0,0,0,0.0,0,0
52 - Benign ListaImagens\pityriasis_lichenoides_et_varioliformis_acuta19.jpg,0.3333333333333333,0,0,0.0,0,0
52 - Malignant ListaImagens\squamous_cell_carcinoma19.jpg,0.4615384615384616,0,0,6.0,0,0
53 - Benign ListaImagens\reiter's_syndrome41.jpg,0.08333333333333333,0,0,1.0,0,0
54 - Malignant ListaImagens\squamous_cell_carcinoma57.jpg,0.48000000000000026,0,5,12.0,0,5
55 - Malignant ListaImagens\squamous_cell_carcinoma71.jpg,0.0769230769230769,1,1,0.0,1,1
57 - Malignant ListaImagens\basal_cell_carcinoma119.jpg,0.0,0,0,0.0,0,0
59 - Benign ListaImagens\tungiasis20.jpg,0.3600000000000001,0,7,9.0,3,7
6 - Malignant Melanoma superficial diseminante2 (SSM).jpg,0.0,0,0,0.0,0,0
60 - Benign ListaImagens\tungiasis9.jpg,0.32000000000000006,0,0,0.0,0,0
61 - Benign ListaImagens\warts_filiformis5.jpg,0.4166666666666667,0,4,0.0,0,4
64 - Benign ListaImagens\warts_vulgaris29.jpg,0.08333333333333333,0,0,0.0,0,0
7 - Malignant Superficial Spreading Melanoma (SSM).jpg,0.04000000000000001,0,0,0.0,0,0
8 - benign carbuncle.jpg,0.08000000000000002,0,0,2.0,0,0
A lightyear is a unit of distance,0.10256410256410262,1,0,0.0,1,0
A monotreme is a mammal which lays eggs,0.435897435897436,0,14,17.0,6,15
A muon has negative electric charge,0.46153846153846145,9,15,18.0,9,15
Abkhazia is a disputed territory in Georgia.,0.3589743589743591,6,14,0.0,12,14
Alabama,0.424242424242424,13,14,14.0,11,0
Alaska,0.39393939393939403,0,0,0.0,0,0
Albert Einstein never won a Nobel Prize in Physics,0.3333333333333335,5,9,0.0,6,0
Alexander the Great became Pharaoh of Egypt,0.3846153846153849,2,6,15.0,0,7
An alpha particle is identical to a helium nucleus,0.3333333333333335,8,13,13.0,9,13
Arizona,0.15151515151515146,3,0,0.0,3,0
Arkansas,0.24242424242424226,5,5,0.0,3,5
Avogadro's constant is greater than Planck's constant,0.3846153846153849,5,11,0.0,2,11
Benign Blue nevus - 2378 005952HB.jpg,0.40000000000000013,0,3,0.0,0,3
Benign Blue nevus_ 5173 021329HB-1.jpg,0.08333333333333333,0,0,1.0,0,0
Benign Compound nevus - 498 011568HB.jpg,0.04000000000000001,0,0,0.0,0,0
Benign Compund nevus - 3803 011213HB.jpg,0.44,0,11,11.0,0,11
Benign Compund nevus 2729 045115HB.jpg,0.3333333333333333,0,0,0.0,0,3
Benign Compund nevus- 5297  011653HB.jpg,0.40000000000000013,0,5,0.0,0,5
Benign Congenital nevus - 2135 011289HB.jpg,0.4166666666666667,0,0,0.0,0,0
Benign Conpund nevus - 4769 005759HB.jpg,0.16666666666666666,2,2,2.0,2,2
Benign Intradermal nevus - 5680 046343HB.jpg,0.08000000000000002,2,2,2.0,2,2
Benign Nevus cell nevus  1657 000363HB.jpg,0.08333333333333333,0,0,1.0,0,0
Benign compund nevus - 6111 045676HB.jpg,0.2800000000000002,5,1,0.0,5,1
Benign intradermal nevus_edited 3019 010381HB.jpg,0.5,0,5,0.0,0,5
Benign keratosis  - 5719 012955HB.jpg,0.16666666666666666,0,0,0.0,0,0
Benign keratosis _ 5402 012360HB.jpg,0.08000000000000002,0,0,0.0,0,0
Benign nevus cell nevus _ 4192 000360HB.jpg,0.08333333333333333,0,0,0.0,0,0
Benign nevus incepiens 1468  04566HB.jpg,0.04000000000000001,0,0,0.0,0,0
Billy the Kid never actually shot anyone dead,0.3846153846153849,0,10,0.0,0,10
"Birmingham, Alabama has a larger population than Birmingham, UK.",0.3333333333333335,5,11,13.0,9,0
Blackbeard had a wooden leg,0.46153846153846145,15,0,18.0,11,0
Brass is an alloy of Copper and Mercury,0.41025641025641046,5,13,0.0,0,12
California,0.24242424242424226,0,0,0.0,0,0
Centipedes are considered insects,0.3589743589743591,7,0,14.0,6,0
China borders the same number of countries as Russia,0.41025641025641046,3,14,16.0,0,14
Colorado,0.09090909090909087,3,3,0.0,3,3
Columbus crossed the Atlantic in the Mary Rose,0.17948717948717954,0,0,0.0,0,0
Connecticut,0.09090909090909087,0,0,0.0,0,0
Croatia is on the Iberian Peninsula.,0.4871794871794869,0,16,19.0,0,16
Custer was defeated at Little Bighorn,0.3589743589743591,0,5,0.0,0,5
Cyprus is the only country to depict its map on its flag,0.3589743589743591,6,12,0.0,6,12
Delaware,0.48484848484848453,0,0,16.0,11,0
Earth's atmosphere is mostly Nitrogen,0.435897435897436,0,11,0.0,0,11
Florida,0.3030303030303029,0,4,0.0,0,3
Genghis Khan's real name was Temujin,0.4871794871794869,0,7,0.0,0,0
Georgia,0.09090909090909087,0,2,0.0,0,2
Grand Central in New York is the world's most used train station.,0.23076923076923073,0,0,9.0,3,0
Hawaii,0.030303030303030283,0,0,0.0,0,0
Idaho,0.24242424242424226,5,7,0.0,2,7
Illinois,0.424242424242424,5,0,14.0,5,0
Indiana,0.09090909090909087,3,3,0.0,3,3
Iowa,0.18181818181818174,0,3,0.0,0,3
Japan has the world's highest life expectancy,0.2820512820512822,5,11,11.0,5,11
Joan of Arc fought at the Battle of Agincourt,0.3076923076923078,3,10,12.0,1,10
Johannesburg is one of South Africa's three capital cities,0.23076923076923073,4,7,9.0,7,7
Jupiter was first discovered by Galileo Galilei,0.23076923076923073,6,9,9.0,4,9
Kansas,0.48484848484848453,5,0,16.0,10,0
Kentucky,0.48484848484848453,0,0,0.0,0,0
Lake Baikal is the deepest lake in the world.,0.41025641025641046,0,5,0.0,0,5
Leptons are made up of quarks,0.41025641025641046,0,16,0.0,8,16
Louisiana,0.424242424242424,0,0,0.0,0,0
Maine,0.424242424242424,6,0,14.0,8,0
Malignant Melanoma- 2349 019474HB.jpg,0.0,0,0,0.0,0,0
Malignant melanoma 2074 -019672HB.jpg,0.4615384615384616,0,3,6.0,0,3
Marie Antoinette was married to Louis XVI,0.17948717948717954,1,5,0.0,1,5
Maryland,0.3030303030303029,4,0,10.0,7,0
Massachusetts,0.030303030303030283,0,0,0.0,0,0
Memphis is the state capital of Tennessee,0.46153846153846145,0,0,0.0,0,0
Michigan,0.45454545454545464,6,0,15.0,4,0
Minnesota,0.33333333333333337,4,0,11.0,3,0
Mississippi,0.33333333333333337,0,10,0.0,9,10
Missouri,0.39393939393939403,0,4,0.0,0,4
Montana,0.39393939393939403,0,0,0.0,0,0
More living languages originate in N/S America than Europe,0.3076923076923078,0,0,12.0,0,0
More people speak Kyrgyz than Uzbek,0.3589743589743591,3,7,0.0,3,8
More people speak Wu Chinese than Cantonese,0.3076923076923078,9,11,12.0,9,11
Mount Kilimanjaro is higher than Denali,0.3076923076923078,8,0,12.0,8,0
Napoleon Bonaparte's first wife was a widow,0.435897435897436,0,9,0.0,2,9
Nebraska,0.33333333333333337,0,0,11.0,0,0
Nero was the first Roman Emperor,0.3846153846153849,0,4,0.0,0,4
Nevada,0.33333333333333337,0,0,0.0,0,0
New_Hampshire,0.48484848484848453,0,0,16.0,0,0
New_Jersey,0.45454545454545464,3,0,15.0,1,0
New_Mexico,0.3636363636363635,10,0,12.0,10,0
New_York,0.2727272727272726,0,0,0.0,0,0
Nigeria is the country with most indigenous languages,0.3846153846153849,0,0,15.0,7,14
North_Carolina,0.424242424242424,0,0,14.0,13,0
North_Dakota,0.39393939393939403,0,0,0.0,0,0
Norway separated from Sweden in the 20th Century,0.3589743589743591,3,12,0.0,3,12
"Of all the American state flags, Indiana's has the most stars.",0.41025641025641046,0,7,0.0,0,7
Ohio,0.212121212121212,4,7,0.0,2,7
Oklahoma,0.12121212121212113,2,0,0.0,2,0
Oregon,0.3030303030303029,3,0,10.0,3,0
Paraguay is a landlocked country.,0.2820512820512822,1,6,0.0,1,0
Part of the Andes mountain range is in Brazil.,0.3333333333333335,0,0,13.0,0,0
Pennsylvania,0.33333333333333337,4,0,11.0,4,0
Portuguese is the official language of Mozambique,0.41025641025641046,15,16,16.0,4,16
Red is higher frequency light than Blue,0.3846153846153849,5,0,15.0,5,15
Rhode_Island,0.060606060606060566,0,0,0.0,0,0
Schuyler Colfax was Abraham Lincoln's Vice President,0.2564102564102562,6,0,0.0,7,8
Shanghai has a greater population than Beijing,0.46153846153846145,3,11,0.0,0,12
Sir Winston churchil was a Labour Prime Minister,0.2820512820512822,7,8,11.0,7,8
Socrates was sentenced to death,0.3589743589743591,0,0,0.0,0,0
South_Carolina,0.3636363636363635,0,0,0.0,0,0
South_Dakota,0.48484848484848453,14,0,16.0,0,0
Stephenson's Rocket was the first steam locomotive,0.3589743589743591,11,11,0.0,4,12
Tennessee,0.3030303030303029,3,0,10.0,3,0
Texas,0.3636363636363635,0,0,0.0,0,0
The Berlin Wall was constructed by East Germany,0.1538461538461539,0,0,0.0,3,0
The Crimean War was fought before the Boer Wars,0.46153846153846145,4,12,0.0,0,11
The Empire State Building has its own zip code.,0.4871794871794869,0,19,19.0,15,19
The Faroe Islands are an Icelandic territory.,0.435897435897436,0,7,17.0,0,7
The Indian Ocean is the third largest ocean in the world,0.3076923076923078,4,9,0.0,9,10
The Iron Age comes after the Bronze Age,0.3076923076923078,8,0,0.0,8,0
The Magna Carta was signed in Rome,0.3333333333333335,0,6,0.0,0,6
The Nile River is more than double the length of the Volga,0.1538461538461539,4,5,6.0,5,5
The Rosetta Stone contains an Ancient Greek section,0.3589743589743591,1,9,0.0,0,9
The Rub' al Khali is the longest river in Saudi Arabia.,0.46153846153846145,0,14,18.0,0,15
The Russian Cyrillic alphabet contains 29 letters,0.23684210526315772,0,5,9.0,0,5
The Sahara Desert has a greater area than USA,0.46153846153846145,0,9,0.0,0,10
The White House was built before Big Ben,0.41025641025641046,0,7,16.0,1,7
The aorta is a vein,0.41025641025641046,15,15,16.0,12,15
The chemical symbol for Tin is Sn,0.3589743589743591,0,0,0.0,0,9
The currency of Switzerland is the Euro,0.3846153846153849,12,0,15.0,0,0
The dot above an 'i' or 'j' is called a 'tittle',0.3589743589743591,0,6,0.0,0,6
The island of Borneo is occupied by three countries,0.4871794871794869,0,10,0.0,0,9
The longest bone in the human body is the femur,0.05128205128205131,0,0,0.0,0,0
The point furthest from Earth's center is in Ecuador.,0.3076923076923078,0,4,12.0,0,4
There are 24 letters in the Greek alphabet,0.2564102564102562,8,10,0.0,9,10
There are more 5 letter words than 12 letter words,0.1538461538461539,4,0,6.0,3,0
There are more countries in Africa than Asia,0.10256410256410262,3,3,0.0,3,3
There are more native Japanese speakers than native French speakers,0.41025641025641046,0,15,0.0,0,0
There are no single word anagrams of the word 'anagram',0.3589743589743591,0,8,0.0,0,9
There is no German word meaning 'fluffy',0.3076923076923078,0,10,0.0,10,10
Transnistria is a disputed territory in Moldova,0.3589743589743591,6,8,14.0,3,9
Uranus is bigger than Saturn,0.3589743589743591,0,8,0.0,0,7
Utah,0.060606060606060566,0,0,0.0,0,0
VJ Day occurred prior to VE Day,0.3333333333333335,1,9,0.0,1,9
Vermont,0.45454545454545464,5,0,15.0,12,0
Virginia,0.030303030303030283,0,0,0.0,0,0
Washington,0.3030303030303029,4,0,10.0,0,0
Wellington is located on New Zealand's North Island.,0.2820512820512822,0,3,0.0,0,3
West_Virginia,0.3636363636363635,10,0,0.0,5,0
"When Hydrogen nuclei fuse, total mass decreases",0.3589743589743591,5,14,14.0,10,0
William Wallace lived before King Macbeth,0.46153846153846145,3,14,18.0,0,14
Wisconsin,0.48484848484848453,0,0,0.0,0,0
Wyoming,0.24242424242424226,2,0,0.0,2,0
malignant-Melanoma-0085.jpg,0.0,0,0,0.0,0,0
malignant-SSM-5.jpg,0.3076923076923076,0,0,0.0,0,0
