question,mean_meta,std_meta,min_meta,p25_meta,p50_meta,p75_meta,max_meta,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_meta,skew_conf,skew_row_average,skew_row_skew
'Cheval' is French for 'cow',0.5256410256410257,0.1595354253976688,0.0,0.5,0.5,0.6000000000000003,0.9799999999999998,0.6358974358974363,0.18422980427370048,0.5,0.5,0.5,0.8000000000000005,1.0,0.37966145557153785,-0.47863528225239793,1.0083235935708332,3.0880567278808972,1.1183793481171496
1 - malignant nodular melanoma.jpg,0.8153846153846155,0.1405118847058488,0.5,0.8,0.8,0.9000000000000002,1.0,0.8692307692307696,0.13155870289605437,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,-0.9578739928582246,-1.4035290754755727,2.401117585895782,2.4321773677703247
10 - Malignant melanoma 3 (SSM).jpg,0.8153846153846155,0.1675616993137843,0.5,0.7,0.9000000000000002,0.9000000000000002,1.0,0.8769230769230768,0.1165750556068647,0.5999999999999999,0.9000000000000002,0.9000000000000002,0.9000000000000002,1.0,-2.1787168040147327,-0.6614540886267195,-1.3396944681290497,2.446029093063903,2.0998477466769154
11 - Benign hemangioma.jpg,0.8249999999999998,0.16583123951776996,0.5,0.7750000000000002,0.7999999999999999,1.0,1.0,0.8833333333333334,0.0937436866561092,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.9250000000000002,1.0,-2.0552372125864222,-0.6189703966373281,-0.4119817668025953,2.464455870184019,2.1221724160458355
11 - malignant melanoma 4 (SSM).jpg,0.8960000000000005,0.13379088160259653,0.5,0.8999999999999997,0.8999999999999997,1.0,1.0,0.9319999999999997,0.09882644720249062,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,-4.999999999999999,-1.6234065094456647,-1.8450687935250374,2.3353125819723535,4.451519605436659
12 - Malignant melanoma 5 (SSM).jpg,0.8359999999999999,0.14685593847940467,0.5,0.8000000000000003,0.8000000000000003,1.0,1.0,0.9080000000000001,0.08621678104251712,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,-4.999999999999999,-0.5157495053549611,-0.5861523276913996,2.3677076139034963,3.3403032361945715
15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,0.9461538461538462,0.11266014242982163,0.5999999999999999,0.9000000000000002,1.0,1.0,1.0,0.976923076923077,0.05991446895152778,0.8,1.0,1.0,1.0,1.0,0.0,-2.780248042833617,-2.682395229845191,2.296704583109783,3.5444726521895835
17 - Benign Junctional Nevus.jpg,0.7000000000000001,0.12792042981336627,0.5,0.5999999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.7916666666666669,0.12401124093721456,0.5,0.7999999999999999,0.7999999999999999,0.9000000000000002,0.9000000000000002,-3.464101615137755,-0.31269438398823013,-1.5309274813634752,2.4972413961086994,2.1649808657342473
17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,0.7846153846153847,0.19513309067639728,0.5,0.5999999999999999,0.8,1.0,1.0,0.9000000000000002,0.09128709291752765,0.8,0.8,0.9000000000000002,1.0,1.0,-2.178716804014733,-0.22352947935308312,0.0,2.4993041103382088,2.0096254236012703
18 - Benign Granuloma Pyogenicum.jpg,0.6639999999999999,0.14106735979665877,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.6999999999999997,0.8999999999999997,0.812,0.11298967504452197,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,-0.2574593588973013,-0.06861139913014963,-0.6302457386665327,2.78181098852882,0.5972035732733508
19 - Benign eclipse_nevus_7_080322.jpg,0.6500000000000001,0.11677484162422845,0.5,0.5750000000000001,0.7000000000000001,0.7000000000000001,0.9000000000000002,0.7666666666666666,0.1230914909793328,0.5999999999999999,0.7000000000000001,0.75,0.8249999999999998,1.0,2.0552372125864204,0.4110474425172835,0.4159507663173621,3.0477049083031074,-2.1709953367570867
19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,0.708,0.1605199883711267,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8440000000000002,0.1293573860795484,0.5,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-1.9754091793527022,-0.33785525444194886,-0.9235649383660379,2.535572866806525,1.8020967890092479
2 - benign trichoblastoma.jpg,0.6749999999999999,0.13568010505999364,0.39999999999999997,0.5999999999999999,0.7000000000000001,0.7249999999999998,0.9000000000000002,0.8333333333333334,0.08876253645985945,0.7000000000000001,0.7999999999999999,0.7999999999999999,0.9000000000000002,1.0,-0.38840332498209035,-0.5077302148198368,0.13865863683670174,2.727185630919706,0.742116677463981
2 - maligant basal cell carcinoma morpheform.jpg,0.676923076923077,0.20064000163579113,0.4,0.5,0.7,0.8,1.0,0.8230769230769232,0.14232501627054275,0.5999999999999999,0.7,0.8,0.9000000000000002,1.0,-1.4511323592170853,0.4463135417133008,-0.27288066112089165,2.640401365990461,1.3016727343947692
20 - Benign sebker_1_011003.jpg,0.8160000000000001,0.307787805693035,0.0,0.8000000000000003,1.0,1.0,1.0,0.9400000000000002,0.0816496580927726,0.6999999999999997,0.8999999999999997,1.0,1.0,1.0,0.0,-1.9062265143804922,-1.3978066466969208,3.2623847532859016,2.438448474278886
21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.7959999999999997,0.14854853303438134,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.8999999999999997,0.10000000000000003,0.5999999999999998,0.8999999999999997,0.8999999999999997,1.0,1.0,-2.490745889990222,-0.17468388287728803,-1.358695652173914,2.438751054062799,2.3790657242845494
22 - Benign ListaImagens\angiokeratoma-solitary_angiokeratoma4.jpg,0.6500000000000001,0.23548788812706578,0.09999999999999998,0.5,0.65,0.8249999999999998,0.9000000000000002,0.8166666666666665,0.14668044012461756,0.5,0.7750000000000002,0.9000000000000002,0.9000000000000002,1.0,-0.38840332498209035,-1.0275144723544858,-1.1714648917709043,2.8126040756119437,1.9055887067019615
22 - Malignant ListaImagens\basal_cell_carcinoma16.jpg,0.5692307692307691,0.1797434068545835,0.09999999999999999,0.5,0.5999999999999999,0.5999999999999999,0.9000000000000002,0.753846153846154,0.14500221041639685,0.5,0.7,0.8,0.8,1.0,1.451132359217084,-1.0825918346266314,-0.3807572509203502,3.1335705438624193,1.4960412010477155
23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,0.7639999999999998,0.14966629547095775,0.5,0.6999999999999997,0.8000000000000003,0.8000000000000003,1.0,0.8599999999999998,0.09574271077563384,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-3.297525541044985,0.030087639811569134,0.0,2.445234132174441,2.6465880959853645
24 - Malignant ListaImagens\basal_cell_carcinoma217.jpg,0.6839999999999997,0.1795364401266032,0.2999999999999999,0.5,0.6999999999999997,0.8000000000000003,1.0,0.8439999999999999,0.10440306508910552,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-1.2966976262249148,-0.16250654401529852,-0.06609650871290372,2.620462443991565,1.5987648689255374
26 - Malignant ListaImagens\basal_cell_carcinoma8.jpg,0.7560000000000001,0.2042873792805943,0.2999999999999999,0.5999999999999998,0.8000000000000003,0.8999999999999997,1.0,0.872,0.11733143937865358,0.5999999999999998,0.8000000000000003,0.8999999999999997,1.0,1.0,-1.597493310510768,-0.5878463770013157,-0.5803336122047242,2.568136483136021,1.7961731616942551
27 - Malignant ListaImagens\basal_cell_carcinoma90.jpg,0.872,0.13391539617733772,0.5,0.8000000000000003,0.8999999999999997,1.0,1.0,0.9319999999999997,0.07483314773547887,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,0.0,-1.25027977688051,-1.266793386549182,2.32247557930093,3.1831086209124875
28 - Malignant Squamous Cell Carcinoma ListaImagens\Bowen's_Disease4.jpg,0.9076923076923079,0.09540735874430287,0.7,0.9000000000000002,0.9000000000000002,1.0,1.0,0.9538461538461539,0.06602252917735243,0.8,0.9000000000000002,1.0,1.0,1.0,0.0,-0.8535406489670881,-1.1906485051077775,2.299472372017114,2.37580952483994
29- Malignant ListaImagens\melanocytic_naevi_congenital1.jpg,0.7384615384615383,0.3355057414771058,0.0,0.7,0.9000000000000002,1.0,1.0,0.9230769230769232,0.09268086959962982,0.7,0.9000000000000002,0.9000000000000002,1.0,1.0,0.0,-1.302836518985057,-1.2736839164484688,3.343223950877117,1.8489664993864379
3 - benign dermatofibroma.jpg,0.644,0.17813852287849843,0.40000000000000013,0.5,0.5999999999999998,0.8000000000000003,1.0,0.7719999999999999,0.12423096769056144,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,1.296697626224915,0.37125808680620304,-0.4095437527453989,3.040618776694265,-0.5298539744411545
30 - Malignant ListaImagens\melanocytic_naevi_intrademal1.jpg,0.6230769230769229,0.1235168419949695,0.29999999999999993,0.5999999999999999,0.5999999999999999,0.7,0.8,0.7846153846153847,0.08987170342729177,0.7,0.7,0.8,0.9000000000000002,0.9000000000000002,1.451132359217084,-1.1411179700647767,0.3419978654437813,3.0539866770333366,0.7061696203067244
31 - Malignant ListaImagens\melanocytic_naevi_intradermal3.jpg,0.8230769230769232,0.21661735138967272,0.19999999999999998,0.8,0.9000000000000002,1.0,1.0,0.9307692307692309,0.07510676161988106,0.8,0.9000000000000002,0.9000000000000002,1.0,1.0,0.0,-2.152387185676793,-0.6107009223374684,3.174292011096564,3.584474676425687
32 - Malignant ListaImagens\melanoma12.jpg,0.88,0.1471960144387974,0.40000000000000013,0.8999999999999997,0.8999999999999997,1.0,1.0,0.9319999999999997,0.08524474568362944,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,0.0,-2.1812427146063125,-1.5764458500134382,2.3277434473017427,3.3850738438077332
33 - Malignant ListaImagens\melanoma14.jpg,0.6230769230769229,0.23506682083273742,0.0,0.5,0.7,0.8,0.9000000000000002,0.8307692307692313,0.11821319289469752,0.5,0.8,0.8,0.9000000000000002,1.0,2.1787168040147336,-1.6458316133570323,-1.7800496654336693,3.169919092153587,1.4824392840849128
35 - Malignant ListaImagens\melanoma33.jpg,0.644,0.14742229591663983,0.40000000000000013,0.5999999999999998,0.5999999999999998,0.6999999999999997,1.0,0.7880000000000001,0.09712534856222316,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8000000000000003,1.0,0.08526788484268882,0.5939627359774667,-0.03986150381235088,2.8366732197820657,-0.44258095501063655
36 - Benign ListaImagens\furuncle7.jpg,0.6833333333333335,0.16422453217986943,0.39999999999999997,0.5750000000000001,0.7000000000000001,0.7999999999999999,1.0,0.8083333333333335,0.10836246694508318,0.5999999999999999,0.7750000000000002,0.7999999999999999,0.9000000000000002,1.0,-0.8124038404635955,0.02189383991692472,-0.19171023080266061,2.659637172068027,1.100153763496133
36 - Malignant ListaImagens\melanoma58.jpg,0.6999999999999997,0.1471960144387974,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.8000000000000003,1.0,0.84,0.09128709291752773,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,-1.0436507793895275,0.25561438061792807,-0.21432621815420239,2.6238087477750645,1.1367421140020222
37 - Benign ListaImagens\granuloma_pyogenic11.jpg,0.6479999999999998,0.1960442127004348,0.20000000000000007,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8039999999999998,0.10198039027185574,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,1.0436507793895275,-0.5264963463532163,0.17094571143943021,3.055473797513003,0.7671555332815996
37 - Malignant ListaImagens\melanoma70.jpg,0.7159999999999997,0.16999999999999996,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.8999999999999997,1.0,0.84,0.07637626158259735,0.6999999999999997,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,-1.043650779389529,0.005575270577616458,-0.24397031206508374,2.6322568075468302,1.1135477434197085
4 - benign xanthogranuloma.jpg,0.66,0.12247448713915889,0.40000000000000013,0.5999999999999998,0.6999999999999997,0.6999999999999997,0.8999999999999997,0.78,0.1290994448735806,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.08526788484268882,-0.1774992567234191,-0.47991315376918037,2.8114314824039486,-0.41622594090655524
4 - malignant superficial spreading melanoma.jpg,0.9400000000000002,0.09574271077563384,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,0.96,0.0645497224367903,0.8000000000000003,0.8999999999999997,1.0,1.0,1.0,0.0,-2.1673700247448533,-1.414480874267049,2.294635375595957,4.099070347683736
41 - Malignant ListaImagens\fibroxanthoma-atypical_fibroxanthoma1.jpg,0.6920000000000001,0.2119748412744621,0.2999999999999999,0.5,0.6999999999999997,0.8000000000000003,1.0,0.8240000000000003,0.12999999999999992,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,1.9754091793527022,-0.2858004521617837,-0.4854445785755268,3.086101227625993,-0.006020285056339428
43 - Benign ListaImagens\impetigo12 .jpg,0.741666666666667,0.13113721705515063,0.5,0.6749999999999999,0.75,0.8249999999999998,0.9000000000000002,0.8333333333333338,0.08876253645985953,0.7000000000000001,0.7750000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.38840332498208946,-0.3634757493583228,-0.7972871618110514,2.7934487737608964,-0.298998491640956
43 - Malignant ListaImagens\keratoacanthoma4.jpg,0.746153846153846,0.15063966175050877,0.5,0.7,0.7,0.8,1.0,0.8769230769230772,0.08320502943378437,0.7,0.8,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,0.4326695567971854,-0.5280857928709884,2.4349380485345895,2.4774823259208967
44 - Benign ListaImagens\keratosis_seborrheic2.jpg,0.5999999999999998,0.18929694486000911,0.20000000000000007,0.5,0.5999999999999998,0.8000000000000003,0.8999999999999997,0.7880000000000001,0.11661903789690604,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.9754091793527022,-0.36054865223647803,-0.9482314674039902,3.180760283103668,0.7836973044248267
45 - Malignant ListaImagens\lentigo_maligna-melanoma2.jpg,0.9538461538461539,0.09674179220468451,0.7,1.0,1.0,1.0,1.0,0.9846153846153847,0.037553380809940536,0.9000000000000002,1.0,1.0,1.0,1.0,0.0,-2.0853806552455585,-2.1787168040147344,2.289956148293009,2.8066264353339703
46 - Benign ListaImagens\Leprosy_tuberculoid84.jpg,0.7600000000000001,0.2798809270624443,0.0,0.6999999999999997,0.8000000000000003,1.0,1.0,0.9080000000000003,0.11518101695447328,0.5999999999999998,0.8999999999999997,0.8999999999999997,1.0,1.0,4.999999999999999,-1.5468452047775778,-1.2345795761331104,3.2410193492341093,2.0442483521150105
46 - Malignant ListaImagens\squamous_cell_carcinoma12.jpg,0.6799999999999998,0.21602468994692867,0.20000000000000007,0.5,0.6999999999999997,0.8000000000000003,1.0,0.8279999999999997,0.10214368964029714,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,2.490745889990222,-0.5552764185359446,-0.6197197166062319,3.172454209670548,1.0071183956454357
47 - Benign ListaImagens\lichen_planus-vesicular3.jpg,0.612,0.14525839046333952,0.2999999999999999,0.5,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.7719999999999999,0.10214368964029714,0.5,0.6999999999999997,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.9754091793527022,-0.13703313940522935,-0.9102005844295579,3.1299392833477966,-0.006795254825424005
47 - Malignant ListaImagens\squamous_cell_carcinoma42.jpg,0.7307692307692306,0.15483655567842813,0.4,0.7,0.7,0.8,1.0,0.8615384615384619,0.06504436355879907,0.8,0.8,0.9000000000000002,0.9000000000000002,1.0,-2.1787168040147327,-0.29011098767624366,0.5717648787662901,2.5189375931766262,2.385969940954936
48 - Malignant ListaImagens\squamous_cell_carcinoma67.jpg,0.6479999999999998,0.17349351572897473,0.40000000000000013,0.5,0.5999999999999998,0.6999999999999997,1.0,0.8000000000000003,0.1224744871391589,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,-0.8219035275816577,0.7910277854409817,0.0,2.705635106930203,0.7445072506225386
5 - benign blue naevus.jpg,0.7000000000000001,0.24120907566221086,0.09999999999999998,0.5999999999999999,0.7000000000000001,0.9000000000000002,1.0,0.8166666666666665,0.1527525231651947,0.5999999999999999,0.7000000000000001,0.8499999999999998,0.9250000000000002,1.0,2.0552372125864222,-1.3525610473168095,-0.14963512473324928,3.147761976775779,1.9733245543958875
50 - Malignant ListaImagens\Melanoma43.jpg,0.9692307692307692,0.08548504142651102,0.7,1.0,1.0,1.0,1.0,0.9769230769230769,0.043852900965351445,0.9000000000000002,1.0,1.0,1.0,1.0,0.0,-3.0784086940294846,-1.4511323592170817,2.287654404146554,3.4257846458346255
52 - Benign ListaImagens\pityriasis_lichenoides_et_varioliformis_acuta19.jpg,0.5333333333333333,0.1497472618255253,0.3,0.5,0.5,0.5250000000000001,0.9000000000000002,0.7416666666666668,0.09962049198956223,0.5999999999999999,0.7000000000000001,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.8124038404635966,1.2633899737653898,0.27432352249045694,3.054278823343744,0.19189634200709768
52 - Malignant ListaImagens\squamous_cell_carcinoma19.jpg,0.7,0.19578900207451214,0.5,0.5,0.7,0.8,1.0,0.8615384615384619,0.0869718492622904,0.7,0.8,0.9000000000000002,0.9000000000000002,1.0,0.17520438393807816,0.31493126987754355,0.03188960235153122,2.8598356191465415,-0.045147605477381766
53 - Benign ListaImagens\reiter's_syndrome41.jpg,0.7166666666666667,0.13371158468430427,0.5,0.6749999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.8583333333333334,0.090033663737852,0.7000000000000001,0.7999999999999999,0.8499999999999998,0.9000000000000002,1.0,-3.464101615137755,-0.35999568275245597,0.15155286641242513,2.4697534736658073,2.2418487840745382
54 - Malignant ListaImagens\squamous_cell_carcinoma57.jpg,0.5879999999999996,0.19857828011475306,0.20000000000000007,0.5,0.5999999999999998,0.6999999999999997,1.0,0.7880000000000001,0.09712534856222316,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8000000000000003,1.0,0.08526788484268882,0.38816487292831353,-0.03986150381236198,2.9857542566201216,0.7928628195121697
55 - Malignant ListaImagens\squamous_cell_carcinoma71.jpg,0.7076923076923076,0.1754116038614058,0.5,0.5999999999999999,0.5999999999999999,0.8,1.0,0.8615384615384619,0.10439078454267837,0.7,0.8,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,0.6290399646427643,-0.10142883148645206,2.4745040090528225,2.474212001014762
57 - Malignant ListaImagens\basal_cell_carcinoma119.jpg,0.9720000000000002,0.0541602560309064,0.8000000000000003,1.0,1.0,1.0,1.0,0.9920000000000005,0.027688746209726913,0.8999999999999997,1.0,1.0,1.0,1.0,0.0,-1.863704911591723,-3.2975255410449806,2.281919968205001,3.097170699606133
59 - Benign ListaImagens\tungiasis20.jpg,0.7200000000000002,0.1732050807568877,0.5,0.5999999999999998,0.6999999999999997,0.8000000000000003,1.0,0.8160000000000001,0.14047538337136978,0.5,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,-0.6212473985319652,0.2928588321976368,-0.5037870766233324,2.6556116372833576,0.535076587997228
6 - Malignant Melanoma superficial diseminante2 (SSM).jpg,0.8679999999999999,0.14352700094407334,0.5,0.8000000000000003,0.8999999999999997,1.0,1.0,0.9319999999999997,0.09451631252505212,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,0.0,-1.129213342495852,-2.0061841883895095,2.330921407598046,3.2121668011386357
60 - Benign ListaImagens\tungiasis9.jpg,0.6880000000000004,0.19000000000000003,0.0,0.6999999999999997,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8079999999999999,0.11874342087037922,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.8219035275816574,-2.3095013216529234,-0.32823929331732216,2.974222629458737,2.0190949599025596
61 - Benign ListaImagens\warts_filiformis5.jpg,0.6416666666666666,0.12401124093721451,0.5,0.5750000000000001,0.5999999999999999,0.7000000000000001,0.9000000000000002,0.8083333333333335,0.07929614610987591,0.7000000000000001,0.7750000000000002,0.7999999999999999,0.9000000000000002,0.9000000000000002,0.38840332498208946,0.7428215854046961,-0.16105554889960177,2.8825624146113213,-0.3277042597468319
64 - Benign ListaImagens\warts_vulgaris29.jpg,0.6416666666666667,0.2314316444667974,0.19999999999999996,0.4749999999999999,0.65,0.8249999999999998,0.9000000000000002,0.8583333333333334,0.13113721705515063,0.5999999999999999,0.7750000000000002,0.9000000000000002,0.9250000000000002,1.0,3.464101615137755,-0.506166118348882,-0.7974966996087359,3.2419995400792634,2.017446166977406
7 - Malignant Superficial Spreading Melanoma (SSM).jpg,0.8599999999999998,0.1322875655532295,0.5,0.8000000000000003,0.8999999999999997,1.0,1.0,0.9160000000000003,0.1106044001535804,0.5,0.8999999999999997,0.8999999999999997,1.0,1.0,-4.999999999999999,-0.8216618978461451,-2.3495848456385393,2.364881141882108,4.282874589369144
8 - benign carbuncle.jpg,0.8440000000000002,0.1529705854077835,0.40000000000000013,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,0.9280000000000005,0.07916228058025278,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,-3.2975255410449815,-1.5848651872185235,-1.1121897653215516,2.401576505505894,3.1982523386606094
A lightyear is a unit of distance,0.6861538461538464,0.25408883014260764,0.0,0.5500000000000004,0.8000000000000005,0.8700000000000002,0.95,0.917948717948718,0.10481009109661873,0.6000000000000003,0.8999999999999994,1.0,1.0,1.0,-2.7259636086606958,-1.4406033637466389,-1.2456162971925546,2.6035434224699507,2.675523741793641
A monotreme is a mammal which lays eggs,0.5758974358974359,0.17055201319180816,0.10000000000000006,0.5,0.5500000000000004,0.7250000000000004,0.8000000000000005,0.6512820512820516,0.15873147612074595,0.5,0.5,0.6000000000000003,0.75,1.0,0.26900266402535017,-0.5135397688362972,0.7451884474959067,2.9729247141417257,0.0014989012285179498
A muon has negative electric charge,0.5230769230769227,0.14600205200709832,0.0,0.5,0.5,0.5249999999999998,0.8999999999999994,0.5512820512820512,0.10226846731132645,0.5,0.5,0.5,0.6000000000000003,0.8999999999999994,0.16054535047329546,-0.23082050612411445,2.530972806011264,3.010419582118917,0.7692228981516279
Abkhazia is a disputed territory in Georgia.,0.5256410256410257,0.1519832897981477,0.10000000000000006,0.5,0.5,0.5749999999999995,1.0,0.6076923076923074,0.12852322211756825,0.5,0.5,0.6000000000000003,0.6999999999999995,0.8999999999999994,-0.6117599486651412,0.38327514249660405,1.1040175429316144,2.9454100504913785,2.1001789686448924
Alabama,0.6296969696969693,0.20293910491334646,0.30000000000000004,0.5,0.6000000000000001,0.8000000000000004,1.0,0.7318181818181816,0.18363439467891324,0.5,0.6000000000000001,0.6999999999999996,0.8999999999999995,1.0,-0.3213656478302573,0.06375124005502021,0.3333779859356832,2.8688492963875505,0.4538515503104606
Alaska,0.6106060606060607,0.23006710154240034,0.0,0.5500000000000003,0.6000000000000001,0.8000000000000004,0.8999999999999995,0.8227272727272731,0.19489216132378062,0.5,0.6999999999999996,0.8999999999999995,1.0,1.0,0.4550735891084457,-1.0464122428331928,-0.6656942019732015,3.1084143709017593,0.8502630869641844
